Key,Action,Rank
action.EditorPreviousWord,Move Caret to Previous Word,1
action.CodeCompletion,Basic,1
action.SmartTypeCompletion,SmartType,1
action.EditorNextWord,Move Caret to Next Word,1
action.EditorUnSelectWord,Shrink Selection,1
action.EditorTextStart,Move Caret to Text Start,2
action.UsageView.Rerun,Rerun,2
action.EditorTextEnd,Move Caret to Text End,2
action.Stop,Stop,2
action.RecentFiles,Recent Files,1
action.SmartStepInto,Smart Step Into,
action.$Copy,Copy,1
action.GotoAction,Find Action...,1
action.PasteMultiple,Paste from History...,2
action.EditorSelectWord,Extend Selection,1
action.RunToCursor,Run to Cursor,
action.Undo,Undo,1
action.PreviousTab,Select Previous Tab,
action.PrevSplitter,Goto Previous Splitter,
action.NextTab,Select Next Tab,
action.NextSplitter,Goto Next Splitter,1
action.EditorCompleteStatement,Complete Current Statement,1
action.CloseContent,Close,1
action.ExpandAll,Expand All,
action.CollapseAll,Collapse All,
action.EditorLineStart,Move Caret to Line Start,1
action.EditorLeft,Left,1
action.StepOut,Step Out,1
action.CommentByLineComment,Comment with Line Comment,1
group.RunnerActions,Debug,1
action.ReformatCode,Reformat Code,1
action.NewElement,New...,1
group.RunnerActions,Run,1
action.CommentByBlockComment,Comment with Block Comment,2
action.RunConfiguration,Select Debug Configuration,
action.ShowReformatFileDialog,Show Reformat File Dialog,2
action.RunConfiguration,Select Run Configuration,
action.$Delete,Delete,1
action.EditorLineEnd,Move Caret to Line End,1
action.Resume,Resume Program,1
action.EditorRight,Right,1
action.StepInto,Step Into,1
action.EditorEscape,Escape,1
action.QuickImplementations,Quick Definition,1
action.QuickJavaDoc,Quick Documentation,1
action.ShowIntentionActions,Show Intention Actions,1
,Open in default browser,2
action.VcsShowNextChangeMarker,Next Change,1
action.GotoDeclaration,Declaration,1
action.GotoNextError,Next Highlighted Error,1
action.GotoImplementation,Implementation(s),1
action.ShowNavBar,Jump to Navigation Bar,2
action.FileStructurePopup,File Structure,1
,Select in Project View,1
action.GotoSuperMethod,Super Method,1
action.GotoTest,Test,1
,Open in Browser,2
action.VcsShowPrevChangeMarker,Previous Change,2
action.GotoPreviousError,Previous Highlighted Error,2
action.GotoTypeDeclaration,Type Declaration,2
action.EditorCutLineEnd,Cut up to Line End,1
action.InsertLiveTemplate,Insert Live Template...,1
action.EditorDown,Down,1
action.StepOver,Step Over,1
action.EditorUp,Up,1
action.HideAllWindows,Hide All Tool Windows,1
,Refactor This...,1
action.IncrementalSearch,Incremental Search,1
action.EditorToggleStickySelection,Toggle Sticky Selection,1
action.EditorPageDown,Page Down,1
action.EditorKillRegion,Kill Selected Region,1
action.ForceRunToCursor,Force Run to Cursor,
action.ForceStepOver,Force Step Over,
action.Runner.CloseAllViews,Close All,2
action.ForceStepInto,Force Step Into,
action.TogglePresentationMode,Toggle Presentation mode,2
action.UnsplitAll,Unsplit All,1
action.SplitHorizontally,Split Horizontally,1
action.SplitVertically,Split Vertically,1
action.CloseEditor,Close Active Editor,1
action.EditorPaste,Paste,1
action.JumpToLastWindow,Jump to Last Tool Window,
action.EditorLeftWithSelection,Left with Selection,1
action.EditorRightWithSelection,Right with Selection,1
action.EditorUpWithSelection,Up with Selection,1
action.EditorDownWithSelection,Down with Selection,1
action.Redo,Redo,1
action.$Cut,Cut,1
action.EditorToggleColumnMode,Column Selection Mode,2
action.Unwrap,Unwrap/Remove...,2
action.CopyPaths,Copy Paths,3
action.CopyReference,Copy Reference,3
action.EditorPasteSimple,Paste Simple,3
action.ShowBookmarks,Show Bookmarks,
action.Back,Back,
action.Forward,Forward,
action.ToggleBookmark,Toggle Bookmark,
action.$Paste,Paste,
action.$SearchWeb,Search with Google,
action.$SelectAll,Select All,
action.About,About,
action.ActivateNavBar,Activate Navigation Bar,
action.Add\ to\ migration\ roots,Add to migration roots,
action.AddFrameworkSupport,Add Framework Support...,
action.AddNewFavoritesList,Add New Favorites List,
action.AddToFavoritesPopup,Add to Favorites,
action.Annotate,Annotate,
action.AnonymousToInner,Convert Anonymous to Inner...,
action.AssociateWithFileType,Associate with File Type,
action.AutoIndentLines,Auto-Indent Lines,
action.AutoShowProcessWindow,Auto Show,
action.BuildAllArtifacts,Build All Artifacts,
action.CallHierarchy,Call Hierarchy,
action.CallHierarchy.BaseOnThisType,Base On This Method,
action.CaptureAllocations,Capture Allocations,
action.CaptureCPUUsageData,Start CPU Usage Profiling,
action.CaptureMemorySnapShot,Capture Memory Snapshot,
action.ChangeCodeStyleScheme,Code Style Scheme,
action.ChangeColorScheme,Color Scheme,
action.ChangeCustomizationSchema,Switch Customization Scheme,
action.ChangeFileEncodingAction,File Encoding,
action.ChangeFileEncodingGroupAction,Change File Encoding,
action.ChangeInspectionProfile,Error Highlighting,
action.ChangeKeymap,Keymap,
action.ChangeLaf,Look and Feel,
action.ChangeSignature,Change Signature...,
action.ChangeSplitOrientation,Change Splitter Orientation,
action.ChangesView.AddUnversioned,Add to VCS,
action.ChangesView.AddUnversioned.From.Dialog,Add to VCS,
action.ChangesView.ApplyPatch,Apply Patch...,
action.ChangesView.ApplyPatchFromClipboard,Apply Patch from Clipboard...,
action.ChangesView.Browse,Browse Changes...,
action.ChangesView.CreatePatch,Create Patch from Local Changes...,
action.ChangesView.CreatePatchFromChanges,Create Patch...,
action.ChangesView.CreatePatchToClipboard,Copy as Patch to Clipboard,
action.ChangesView.DeleteUnversioned,Delete,
action.ChangesView.Diff,Show Diff,
action.ChangesView.Edit,Check Out,
action.ChangesView.Ignore,Ignore...,
action.ChangesView.Move,Move to Another Changelist...,
action.ChangesView.NewChangeList,New Changelist,
action.ChangesView.Refresh,Refresh,
action.ChangesView.RemoveChangeList,"Delete {0,choice,0#Changelist|1#Changelists}",
action.ChangesView.RemoveDeleted,Remove from VCS,
action.ChangesView.Rename,Edit Changelist...,
action.ChangesView.Revert,Revert,
action.ChangesView.SetDefault,Set Active Changelist,
action.ChangesView.Shelve,Shelve Changes...,
action.ChangeTemplateDataLanguage,Change Template Data Language,
action.ChangeTypeSignature,Type Migration...,
action.ChangeView,View Mode,
action.CheckForUpdate,Check for Updates...,
action.CheckinFiles,Commit File,
action.CheckinProject,Commit,
action.CheckStatusForFiles,Check Status,
action.ClassNameCompletion,Class Name Completion,
action.CloseActiveTab,Close Active Tab,
action.CloseAllEditors,Close All,
action.CloseAllEditorsButActive,Close Others,
action.CloseAllNotifications,Close All,
action.CloseAllUnmodifiedEditors,Close Unmodified,
action.CloseAllUnpinnedEditors,Close All but Pinned,
action.CloseFirstNotification,Close First,
action.CloseProject,Close Project,
action.CloseWindow,Close Active Window,
action.CodeCleanup,Code Cleanup...,
action.CodeInspection.OnEditor,Inspect Code With Editor Settings,
action.CollapseAllRegions,Collapse All,
action.CollapseBlock,Fold Code Block,
action.CollapseDocComments,Collapse doc comments,
action.CollapseRegion,Collapse,
action.CollapseRegionRecursively,Collapse Recursively,
action.CollapseSelection,Fold Selection / Remove region,
action.CollapseTreeNode,Collapse Tree Node,
action.CollectZippedLogs,Collect and Show Logs in File Manager,
action.CommittedChanges.Details,Show Details,
action.CommittedChanges.Filter,Filter,
action.CommittedChanges.Refresh,Refresh,
action.CommittedChanges.Revert,Revert Changes,
action.Compare.LastVersion,Compare with Latest Repository Version,
action.Compare.SameVersion,Compare with the Same Repository Version,
action.Compare.Selected,Compare with...,
action.CompareClipboardWithSelection,Compare with Clipboard,
action.CompareFileWithEditor,Compare File with Editor,
action.CompareTwoFiles,Compare Files,
action.Compile,Rebuild,
action.CompileDirty,Build Project,
action.CompileFile,Recompile,
action.CompileProject,Rebuild Project,
action.ConfigureFileDefaultEncoding,Configure Default Encoding...,
action.Console.Execute,Execute Current Statement in One-Line Console,
action.Console.Execute.Multiline,Execute Current Statement in Multiline Console,
action.Console.History.Browse,Browse Console History,
action.Console.History.Next,Next Entry in Console History,
